train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.8M
epoch 251/2000, train: loss=0.0312, val: psnr=30.2107, 1.5m 6.4h/51.4h
epoch 252/2000, train: loss=0.0319, val: psnr=30.2487, 1.5m 6.5h/51.4h
epoch 253/2000, train: loss=0.0319, val: psnr=30.2776, 1.5m 6.5h/51.4h
epoch 254/2000, train: loss=0.0311, val: psnr=30.3849, 1.5m 6.5h/51.4h
epoch 255/2000, train: loss=0.0313, val: psnr=29.9421, 1.5m 6.6h/51.4h
epoch 256/2000, train: loss=0.0313, val: psnr=30.0860, 1.5m 6.6h/51.4h
epoch 257/2000, train: loss=0.0316, val: psnr=29.5050, 1.5m 6.6h/51.4h
epoch 258/2000, train: loss=0.0311, val: psnr=30.2051, 1.5m 6.6h/51.4h
epoch 259/2000, train: loss=0.0313, val: psnr=29.8318, 1.5m 6.7h/51.4h
epoch 260/2000, train: loss=0.0316, val: psnr=29.8657, 1.6m 6.7h/51.4h
epoch 261/2000, train: loss=0.0317, val: psnr=29.6583, 1.5m 6.7h/51.4h
epoch 262/2000, train: loss=0.0317, val: psnr=29.6759, 1.5m 6.7h/51.4h
epoch 263/2000, train: loss=0.0313, val: psnr=30.4151, 1.6m 6.8h/51.4h
epoch 264/2000, train: loss=0.0313, val: psnr=30.2154, 1.5m 6.8h/51.4h
epoch 265/2000, train: loss=0.0313, val: psnr=30.1091, 1.5m 6.8h/51.4h
epoch 266/2000, train: loss=0.0314, val: psnr=30.5240, 1.5m 6.8h/51.4h
epoch 267/2000, train: loss=0.0319, val: psnr=30.1470, 1.6m 6.9h/51.4h
epoch 268/2000, train: loss=0.0315, val: psnr=30.2759, 1.6m 6.9h/51.4h
epoch 269/2000, train: loss=0.0315, val: psnr=30.4835, 1.5m 6.9h/51.4h
epoch 270/2000, train: loss=0.0317, val: psnr=30.5698, 1.6m 6.9h/51.4h
epoch 271/2000, train: loss=0.0313, val: psnr=30.1613, 1.6m 7.0h/51.4h
epoch 272/2000, train: loss=0.0318, val: psnr=29.7240, 1.6m 7.0h/51.4h
epoch 273/2000, train: loss=0.0316, val: psnr=30.5434, 1.6m 7.0h/51.4h
epoch 274/2000, train: loss=0.0320, val: psnr=29.8227, 1.5m 7.0h/51.4h
epoch 275/2000, train: loss=0.0313, val: psnr=30.5097, 1.5m 7.1h/51.4h
epoch 276/2000, train: loss=0.0315, val: psnr=29.9260, 1.6m 7.1h/51.4h
epoch 277/2000, train: loss=0.0311, val: psnr=30.4760, 1.5m 7.1h/51.4h
epoch 278/2000, train: loss=0.0315, val: psnr=30.1741, 1.5m 7.1h/51.4h
epoch 279/2000, train: loss=0.0318, val: psnr=30.2404, 1.5m 7.2h/51.4h
epoch 280/2000, train: loss=0.0318, val: psnr=30.3556, 1.6m 7.2h/51.4h
epoch 281/2000, train: loss=0.0314, val: psnr=30.3197, 1.5m 7.2h/51.4h
epoch 282/2000, train: loss=0.0320, val: psnr=29.9400, 1.6m 7.2h/51.4h
epoch 283/2000, train: loss=0.0320, val: psnr=30.2363, 1.6m 7.3h/51.4h
epoch 284/2000, train: loss=0.0316, val: psnr=29.9774, 1.5m 7.3h/51.4h
